p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
3,0,4,0,1,3,12,11,341.5709409397962,379.4796045303705,356.94902448822245,-158.7854704698981,False,17.552649100001872,
3,0,4,1,0,3,12,12,337.3206754595645,379.2553822178361,354.3142154437906,-155.66033772978224,True,3.4757442000009178,
3,0,4,1,1,3,12,12,337.15520816473486,378.2229270545237,353.81479867552997,-155.57760408236743,True,13.924599499998294,
3,0,4,2,0,3,12,13,330.996928273066,376.1573817050508,349.2976636406941,-151.498464136533,False,11.78052320000279,
3,0,4,2,1,3,12,13,338.36393601585496,382.5907102048584,356.3050334890189,-155.18196800792748,False,20.02711470000213,
4,0,0,0,0,3,12,8,336.09532108884974,365.31853773829414,347.9332203936531,-159.04766054442487,True,0.6025474000016402,
4,0,0,0,1,3,12,8,343.098320316799,371.73437226942775,354.7110079280628,-162.5491601583995,True,1.7679682000016328,
4,0,0,1,0,3,12,9,336.7015832689275,369.17182399053235,349.854804718709,-158.35079163446375,True,1.0464255999977468,
4,0,0,1,1,3,12,9,340.68110459734254,372.4989401002634,353.58409083208016,-160.34055229867127,True,3.1212978000003204,
4,0,0,2,0,3,12,10,337.77149594720163,373.488760740967,352.24003954196127,-157.88574797360081,True,1.7210911000001943,
4,0,0,2,1,3,12,10,340.28769138910576,375.2873104423187,354.48097624731713,-159.14384569455288,True,3.7395047999998496,
4,0,1,0,0,3,12,9,336.82547352502854,369.242943675625,349.958570376791,-158.41273676251427,True,0.8964470000028086,
4,0,1,0,1,3,12,9,343.12066957434917,374.88216690008744,356.00189927476674,-161.56033478717458,True,2.9372564000004786,
4,0,1,1,0,3,12,10,337.4536569591758,373.1128741248319,351.9000634961145,-157.7268284795879,True,1.2249760000013339,
4,0,1,1,1,3,12,10,340.9786175467817,375.91626460509383,355.1479702172411,-159.48930877339086,True,3.3401856000018597,
4,0,1,2,0,3,12,11,338.2558550205064,377.1568192012221,354.0155712426213,-157.1279275102532,True,2.451002800000424,
4,0,1,2,1,3,12,11,340.02286973913806,378.136666530024,355.4803453796392,-158.01143486956903,True,5.298386499998742,
4,0,2,0,0,3,12,10,337.80914264169866,373.4100042328281,352.2332722070592,-157.90457132084933,True,1.7093999999997322,
4,0,2,0,1,3,12,10,342.08684620953727,376.96217015495694,356.2321048139409,-160.04342310476864,True,5.2352189000012,
4,0,2,1,0,3,12,11,337.6840902776133,376.52139383157265,353.41950434891567,-156.84204513880664,True,3.245271400002821,
4,0,2,1,1,3,12,11,336.94240650962024,374.9882144500781,352.37359771442425,-156.47120325481012,True,15.327458899999328,
4,0,2,2,0,3,12,12,335.465671076355,377.5394165931444,352.5123696535993,-154.7328355381775,True,5.450253799997881,
4,0,2,2,1,3,12,12,340.11631274063245,381.3326046761284,356.8334365458368,-157.05815637031623,False,19.33583290000024,
4,0,3,0,0,3,12,11,336.78995437128395,375.563257773539,352.5009118491339,-156.39497718564198,True,2.4327348999977403,
4,0,3,0,1,3,12,11,336.81367938198593,374.7911110690681,352.21840731664463,-156.40683969099297,True,14.540417899999738,
4,0,3,1,0,3,12,12,336.93363173616274,378.93804375527236,353.9538356705002,-155.46681586808137,True,2.3712603999993007,
4,0,3,1,1,3,12,12,334.0129548417849,375.1551725027906,350.7014101043318,-154.00647742089245,True,9.003408399999898,
4,0,3,2,0,3,12,13,332.9772800410659,378.21280067703015,351.30673043189086,-152.48864002053296,True,8.032238799998595,
4,0,3,2,1,3,12,13,334.57247674706986,378.8794803819991,352.544659337505,-153.28623837353493,True,12.396210200000496,
4,0,4,0,0,3,12,12,337.5211201718041,379.4558269300757,354.51466015603023,-155.76056008590206,True,3.67008419999911,
4,0,4,0,1,3,12,12,342.83887970136027,383.90659859114913,359.4984702121554,-158.41943985068013,True,14.481751700001041,
4,0,4,1,0,3,12,13,337.8085759491213,382.9690293811061,356.1093113167494,-154.90428797456065,True,4.933106600001338,
4,0,4,1,1,3,12,13,342.0794928667235,386.30626705572695,360.02059033988746,-157.03974643336176,True,7.639504899998428,
4,0,4,2,0,3,12,14,332.2728908305125,380.65909093621053,351.88082158154265,-151.13644541525625,False,12.174708599999576,
4,0,4,2,1,3,12,14,343.05313872431,390.4389682125279,362.2757431598428,-156.526569362155,True,17.461571799998637,
