date,UK_CPI_lag1,UK_CPI_lag3,UK_CPI_lag6,UK_CPI_lag12,UK_POLICY_RATE_lag1,UK_POLICY_RATE_lag3,UK_POLICY_RATE_lag6,UK_POLICY_RATE_lag12,UK_UNEMPLOYMENT_lag1,UK_UNEMPLOYMENT_lag3,UK_UNEMPLOYMENT_lag6,UK_UNEMPLOYMENT_lag12,UK_GDP_lag1,UK_GDP_lag3,UK_GDP_lag6,UK_GDP_lag12,UK_M2_lag1,UK_M2_lag3,UK_M2_lag6,UK_M2_lag12
2007-05-01,0.36166404701885146,0.3647420457043568,0.2436054797881121,0.4932192489318872,-0.011700000000000266,0.09520000000000017,0.17130000000000045,0.016499999999999737,-0.09999999999999964,0.0,0.09999999999999964,0.09999999999999964,2.572192,2.115278,1.391256,2.354576,-0.1909270000000003,0.07425499999999907,0.25603700000000096,-1.330591
2007-06-01,0.24038473113944595,0.4842624475787991,0.4854378464798143,0.2457003693052084,0.18630000000000013,-0.015099999999999447,0.08759999999999923,0.06190000000000051,0.0,0.0,0.0,0.0,2.840504,2.343936,1.639032,2.095851,1.7486549999999994,-0.9949149999999989,-0.177759,-0.6710790000000006
2007-07-01,0.2398082684012846,0.36166404701885146,-0.6071664068549796,0.0,0.13149999999999995,-0.011700000000000266,0.13870000000000005,-0.025300000000000544,-0.10000000000000053,-0.09999999999999964,0.0,0.0,3.108536,2.572192,1.886215,1.8387,0.9739140000000006,-0.1909270000000003,0.16546199999999978,0.07885100000000023
2007-08-01,-0.4801929995407306,0.24038473113944595,0.3647420457043568,0.36742233618843256,0.23409999999999975,0.18630000000000013,0.09520000000000017,0.2567000000000004,0.0,0.0,0.0,0.0,3.376288,2.840504,2.115278,1.60515,-0.034895999999999816,1.7486549999999994,0.07425499999999907,0.6719340000000003
2007-09-01,0.3603607503298618,0.2398082684012846,0.4842624475787991,0.1221747250322513,0.06930000000000014,0.13149999999999995,-0.015099999999999447,-0.013399999999999856,0.0,-0.10000000000000053,0.0,0.0,3.544794,3.108536,2.343936,1.373218,0.0605879999999992,0.9739140000000006,-0.9949149999999989,0.6346729999999994
2007-10-01,0.11983224921087163,-0.4801929995407306,0.36166404701885146,0.1220256405229369,-0.08809999999999985,0.23409999999999975,-0.011700000000000266,0.03629999999999978,-0.09999999999999964,0.0,-0.09999999999999964,-0.09999999999999964,3.712901,3.376288,2.572192,1.142886,-0.8380729999999996,-0.034895999999999816,-0.1909270000000003,-0.048947000000000074
2007-11-01,0.3586375631227432,0.3603607503298618,0.24038473113944595,0.2436054797881121,-0.0495000000000001,0.06930000000000014,0.18630000000000013,0.17130000000000045,0.0,0.0,0.0,0.09999999999999964,3.880612,3.544794,2.840504,1.391256,-1.6761370000000007,0.0605879999999992,1.7486549999999994,0.25603700000000096
2007-12-01,0.3573559490864922,0.11983224921087163,0.2398082684012846,0.4854378464798143,0.014100000000000001,-0.08809999999999985,0.13149999999999995,0.08759999999999923,0.0,-0.09999999999999964,-0.10000000000000053,0.0,3.630954,3.712901,3.108536,1.639032,-0.5247039999999998,-0.8380729999999996,0.9739140000000006,-0.177759
2008-01-01,0.47449673842259543,0.3586375631227432,-0.4801929995407306,-0.6071664068549796,-0.19280000000000008,-0.0495000000000001,0.23409999999999975,0.13870000000000005,0.0,0.0,0.0,0.0,3.383109,3.880612,3.376288,1.886215,0.5956440000000001,-1.6761370000000007,-0.034895999999999816,0.16546199999999978
2008-02-01,-0.4744967384225861,0.3573559490864922,0.3603607503298618,0.3647420457043568,-0.09149999999999991,0.014100000000000001,0.06930000000000014,0.09520000000000017,0.0,0.0,0.0,0.0,3.137058,3.630954,3.544794,2.115278,1.8077699999999997,-0.5247039999999998,0.0605879999999992,0.07425499999999907
2008-03-01,0.5927699633275206,0.47449673842259543,0.11983224921087163,0.4842624475787991,-0.17269999999999985,-0.19280000000000008,-0.08809999999999985,-0.015099999999999447,0.0,0.0,-0.09999999999999964,0.0,2.630844,3.383109,3.712901,2.343936,1.4693510000000014,0.5956440000000001,-0.8380729999999996,-0.9949149999999989
2008-04-01,0.35398267051242077,-0.4744967384225861,0.3586375631227432,0.36166404701885146,-0.024399999999999977,-0.09149999999999991,-0.0495000000000001,-0.011700000000000266,0.09999999999999964,0.0,0.0,-0.09999999999999964,2.127783,3.137058,3.880612,2.572192,-0.05592100000000144,1.8077699999999997,-1.6761370000000007,-0.1909270000000003
2008-05-01,0.8211189830394624,0.5927699633275206,0.3573559490864922,0.24038473113944595,-0.22780000000000022,-0.17269999999999985,0.014100000000000001,0.18630000000000013,-0.09999999999999964,0.0,0.0,0.0,1.627847,2.630844,3.630954,2.840504,-0.24019199999999863,1.4693510000000014,-0.5247039999999998,1.7486549999999994
2008-06-01,0.5824128285988713,0.35398267051242077,0.47449673842259543,0.2398082684012846,-0.04860000000000042,-0.024399999999999977,-0.19280000000000008,0.13149999999999995,0.20000000000000018,0.09999999999999964,0.0,-0.10000000000000053,0.755211,2.127783,3.383109,3.108536,-1.4073770000000003,-0.05592100000000144,0.5956440000000001,0.9739140000000006
2008-07-01,0.5790404134704308,0.8211189830394624,-0.4744967384225861,-0.4801929995407306,0.001200000000000756,-0.22780000000000022,-0.09149999999999991,0.23409999999999975,0.09999999999999964,-0.09999999999999964,0.0,0.0,-0.111976,1.627847,3.137058,3.376288,-1.1852289999999996,-0.24019199999999863,1.8077699999999997,-0.034895999999999816
2008-08-01,0.0,0.5824128285988713,0.5927699633275206,0.3603607503298618,-0.022700000000000387,-0.04860000000000042,-0.17269999999999985,0.06930000000000014,0.20000000000000018,0.20000000000000018,0.0,0.0,-0.973767,0.755211,2.630844,3.544794,-0.9370630000000002,-1.4073770000000003,1.4693510000000014,0.0605879999999992
2008-09-01,0.5757068290067724,0.5790404134704308,0.35398267051242077,0.11983224921087163,-0.012900000000000134,0.001200000000000756,-0.024399999999999977,-0.08809999999999985,0.20000000000000018,0.09999999999999964,0.09999999999999964,-0.09999999999999964,-1.948485,-0.111976,2.127783,3.712901,-0.22327300000000072,-1.1852289999999996,-0.05592100000000144,-0.8380729999999996
2008-10-01,0.45819095051117653,0.0,0.8211189830394624,0.3586375631227432,-0.10449999999999982,-0.022700000000000387,-0.22780000000000022,-0.0495000000000001,0.09999999999999964,0.20000000000000018,-0.09999999999999964,0.0,-2.917741,-0.973767,1.627847,3.880612,-0.16550900000000013,-0.9370630000000002,-0.24019199999999863,-1.6761370000000007
2008-11-01,-0.22883305180122737,0.5757068290067724,0.5824128285988713,0.3573559490864922,-0.48099999999999987,-0.012900000000000134,-0.04860000000000042,0.014100000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.0,-3.881582,-1.948485,0.755211,3.630954,2.055506000000001,-0.22327300000000072,-1.4073770000000003,-0.5247039999999998
2008-12-01,0.0,0.45819095051117653,0.5790404134704308,0.47449673842259543,-1.6269,-0.10449999999999982,0.001200000000000756,-0.19280000000000008,0.20000000000000018,0.09999999999999964,0.09999999999999964,0.0,-4.648579,-2.917741,-0.111976,3.383109,3.3027239999999995,-0.16550900000000013,-1.1852289999999996,0.5956440000000001
2009-01-01,-0.2293578987099401,-0.22883305180122737,0.0,-0.4744967384225861,-1.1321,-0.48099999999999987,-0.022700000000000387,-0.09149999999999991,0.09999999999999964,0.20000000000000018,0.20000000000000018,0.0,-5.413668,-3.881582,-0.973767,3.137058,0.6554910000000014,2.055506000000001,-0.9370630000000002,1.8077699999999997
2009-02-01,-0.5757068290067638,0.0,0.5757068290067724,0.5927699633275206,-0.3265,-1.6269,-0.012900000000000134,-0.17269999999999985,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.0,-6.176857,-4.648579,-1.948485,2.630844,-1.0020060000000015,3.3027239999999995,-0.22327300000000072,1.4693510000000014
