country,break_name,break_date,y_form,variable,coef_pre,se_pre,coef_post,se_post,delta,se_delta,z_stat,p_value,n_pre,n_post
UK,COVID_2020,2020-03,log_diff_pct,M2,-0.023021788423090293,0.014688691921566813,0.05581800577745996,0.04151762251401158,0.07883979420055026,0.04403942154005503,1.7902095768638415,0.07342022609414767,229,61
UK,ENERGY_2022,2022-02,log_diff_pct,const,0.16240119129888608,0.016019716918912213,0.23264532329506374,0.06398673931689339,0.07024413199617766,0.06596161109744175,1.0649244435890075,0.28691012258180004,252,38
UK,ENERGY_2022,2022-02,log_diff_pct,POLICY_RATE,0.07314322878189689,0.07367562885479248,0.26998018945917335,0.2289373153681894,0.19683696067727646,0.24050029658015587,0.8184478916502004,0.4131014847435428,252,38
UK,ENERGY_2022,2022-02,log_diff_pct,UNEMPLOYMENT,-0.017137846511792593,0.1775950701088963,0.3801863370467724,0.46420542532879316,0.397324183558565,0.497017792268717,0.7994164187662486,0.4240489931949343,252,38
UK,ENERGY_2022,2022-02,log_diff_pct,GDP,0.009538391438699698,0.003996023183175505,0.10546023509038177,0.02646960910747421,0.09592184365168208,0.026769542535929856,3.5832455307346613,0.00033935134909524045,252,38
UK,ENERGY_2022,2022-02,log_diff_pct,M2,-0.01705981340241212,0.015203293392640064,-0.06637052543299371,0.052953548638132016,-0.049310712030581585,0.05509281662207611,-0.8950479400761371,0.37076146148861033,252,38
GERMANY,GFC_2008,2008-09,first_diff,const,0.10452082631225751,0.05054558224676306,0.05285930461692919,0.04266224818271435,-0.05166152169532832,0.06614320301185755,-0.7810556390210935,0.4347697712828267,91,199
GERMANY,GFC_2008,2008-09,first_diff,POLICY_RATE,0.15012127564927671,0.183179696447926,0.1868350862103005,0.23068730960614778,0.036713810561023796,0.29456991700456614,0.12463530198317806,0.9008122793533293,91,199
GERMANY,GFC_2008,2008-09,first_diff,UNEMPLOYMENT,-0.07127333076565155,0.2770347834849602,1.1419213059240607,0.5748832982151626,1.2131946366897122,0.6381528639967875,1.9011034896739403,0.05728845861660803,91,199
GERMANY,GFC_2008,2008-09,first_diff,GDP,0.01155107053052419,0.019524117624721424,0.04473769004339949,0.014774391135448964,0.0331866195128753,0.02448415410928445,1.355432553019704,0.17527978394901633,91,199
GERMANY,GFC_2008,2008-09,first_diff,M2,-0.049295173609628484,0.0456681763650428,0.0010595246494895256,0.0626910529424575,0.05035469825911801,0.0775612690170981,0.6492247857370345,0.5161930933024228,91,199
GERMANY,COVID_2020,2020-03,first_diff,const,0.089679519379445,0.03214918026030554,-0.05694539834229785,0.0804531602797347,-0.14662491772174285,0.08663879495010478,-1.6923702344450202,0.09057540399625519,229,61
GERMANY,COVID_2020,2020-03,first_diff,POLICY_RATE,0.10443154663937645,0.1422745585120513,0.6428552580968737,0.2584477823497941,0.5384237114574972,0.2950208572310196,1.8250360890107444,0.0679955835017736,229,61
GERMANY,COVID_2020,2020-03,first_diff,UNEMPLOYMENT,-0.09160827240207794,0.27413184716451716,1.92998554798545,1.0108308775091046,2.021593820387528,1.0473429870656779,1.9302118268356303,0.053580596746534814,229,61
GERMANY,COVID_2020,2020-03,first_diff,GDP,0.007378761802895506,0.010759085355212581,0.0889885054289811,0.025719631438857377,0.08160974362608558,0.027879335699248838,2.9272485006981146,0.0034197551890318145,229,61
GERMANY,COVID_2020,2020-03,first_diff,M2,-0.0005303405249039545,0.05669401834057696,0.34673302000400363,0.14243782736231936,0.3472633605289076,0.15330605460744062,2.2651640303321288,0.023502615545418548,229,61
GERMANY,ENERGY_2022,2022-02,first_diff,const,0.07394341643866444,0.02358362305792832,-0.3898754136978522,0.2276720287200693,-0.46381883013651665,0.2288902355672922,-2.0263810248915446,0.042725753910366704,252,38
GERMANY,ENERGY_2022,2022-02,first_diff,POLICY_RATE,0.06571724270121468,0.1378433143975257,0.07889324936189085,0.4622625011308902,0.01317600666067617,0.48237682290495815,0.02731475899137927,0.9782086852880862,252,38
GERMANY,ENERGY_2022,2022-02,first_diff,UNEMPLOYMENT,0.10162319526251799,0.2633413810842351,1.626707139750864,1.6265347581553498,1.525083944488346,1.6477147818960765,0.925575203454438,0.35466678473828983,252,38
GERMANY,ENERGY_2022,2022-02,first_diff,GDP,0.01825919356120847,0.006567644615552955,0.16001367340925604,0.049887226609042254,0.14175447984804757,0.05031768411342214,2.8171900663893004,0.004844584696958032,252,38
GERMANY,ENERGY_2022,2022-02,first_diff,M2,0.0032038797147701803,0.042988647418297915,0.29407272057694,0.21965733696909318,0.2908688408621698,0.2238244166555751,1.2995402611045954,0.193758585876052,252,38
