date,USA_CPI_lag1,USA_CPI_lag3,USA_CPI_lag6,USA_CPI_lag12,USA_POLICY_RATE_lag1,USA_POLICY_RATE_lag3,USA_POLICY_RATE_lag6,USA_POLICY_RATE_lag12,USA_UNEMPLOYMENT_lag1,USA_UNEMPLOYMENT_lag3,USA_UNEMPLOYMENT_lag6,USA_UNEMPLOYMENT_lag12,USA_GDP_lag1,USA_GDP_lag3,USA_GDP_lag6,USA_GDP_lag12,USA_M2_lag1,USA_M2_lag3,USA_M2_lag6,USA_M2_lag12
2012-04-01,2.5828752813320977,3.0087663379855023,3.5222681306640524,3.0772344447868694,0.03,0.009999999999999995,-0.009999999999999995,-0.04000000000000001,-0.10000000000000142,-0.1999999999999993,-0.1999999999999993,0.09999999999999964,4.339703,4.672895,3.4801,3.854062,9.83559,10.267827,9.306145,5.614392
2012-05-01,2.2731633741348567,2.8981784423473878,3.451432214581729,3.4589718808964998,0.010000000000000009,0.020000000000000004,0.009999999999999995,-0.010000000000000009,0.0,0.0,-0.20000000000000107,-0.09999999999999964,4.175313,4.505556,3.878424,3.682243,9.65789,10.058003,9.642735,5.793937
2012-06-01,1.7379429374660749,2.5828752813320977,3.062066838419386,3.5023181506360412,0.01999999999999999,0.03,-0.009999999999999995,0.0,0.0,-0.10000000000000142,-0.09999999999999964,0.09999999999999964,4.21492,4.339703,4.276022,3.511649,9.26239,9.83559,9.754964,6.420881
2012-07-01,1.653870448297634,2.2731633741348567,3.0087663379855023,3.5798809769996165,0.0,0.010000000000000009,0.009999999999999995,-0.01999999999999999,0.0,0.0,-0.1999999999999993,-0.09999999999999964,4.254375,4.175313,4.672895,3.342267,9.142789,9.65789,10.267827,8.156722
2012-08-01,1.4175114798464783,1.7379429374660749,2.8981784423473878,3.75499603070808,0.0,0.01999999999999999,0.020000000000000004,0.03,0.0,0.0,0.0,0.0,4.293678,4.21492,4.505556,3.38855,7.815543,9.26239,10.058003,9.704301
2012-09-01,1.6859349154821235,1.653870448297634,2.5828752813320977,3.812621692818685,-0.03,0.0,0.03,-0.020000000000000004,-0.09999999999999964,0.0,-0.10000000000000142,0.0,4.077172,4.254375,4.339703,3.434493,6.448431,9.142789,9.83559,9.551883
2012-10-01,1.9497168982819613,1.4175114798464783,2.2731633741348567,3.5222681306640524,0.010000000000000009,0.0,0.010000000000000009,-0.009999999999999995,-0.2999999999999998,0.0,0.0,-0.1999999999999993,3.862447,4.293678,4.175313,3.4801,7.062765,7.815543,9.65789,9.306145
2012-11-01,2.1556780595369363,1.6859349154821235,1.7379429374660749,3.451432214581729,0.01999999999999999,-0.03,0.01999999999999999,0.009999999999999995,0.0,-0.09999999999999964,0.0,-0.20000000000000107,3.64948,4.077172,4.21492,3.878424,7.387004,6.448431,9.26239,9.642735
2012-12-01,1.7960197033926262,1.9497168982819613,1.653870448297634,3.062066838419386,0.0,0.010000000000000009,0.0,-0.009999999999999995,-0.09999999999999964,-0.2999999999999998,0.0,-0.09999999999999964,3.634729,3.862447,4.254375,4.276022,7.527629,7.062765,9.142789,9.754964
2013-01-01,1.7595049796895523,2.1556780595369363,1.4175114798464783,3.0087663379855023,0.0,0.01999999999999999,0.0,0.009999999999999995,0.20000000000000018,0.0,0.0,-0.1999999999999993,3.620118,3.64948,4.293678,4.672895,8.2632,7.387004,7.815543,10.267827
2013-02-01,1.684061762098299,1.7960197033926262,1.6859349154821235,2.8981784423473878,-0.01999999999999999,0.0,-0.03,0.020000000000000004,0.09999999999999964,-0.09999999999999964,-0.09999999999999964,0.0,3.605645,3.634729,4.077172,4.505556,7.691441,7.527629,6.448431,10.058003
2013-03-01,2.0181404902574807,1.7595049796895523,1.9497168982819613,2.5828752813320977,0.009999999999999981,0.0,0.010000000000000009,0.03,-0.2999999999999998,0.20000000000000018,-0.2999999999999998,-0.10000000000000142,3.475746,3.620118,3.862447,4.339703,7.316153,8.2632,7.062765,9.83559
2013-04-01,1.5187472411246183,1.684061762098299,2.1556780595369363,2.2731633741348567,-0.009999999999999981,-0.01999999999999999,0.01999999999999999,0.010000000000000009,-0.20000000000000018,0.09999999999999964,0.0,0.0,3.346589,3.605645,3.64948,4.175313,7.407219,7.691441,7.387004,9.65789
2013-05-01,1.138808047576867,2.0181404902574807,1.7960197033926262,1.7379429374660749,0.009999999999999981,0.009999999999999981,0.0,0.01999999999999999,0.09999999999999964,-0.2999999999999998,-0.09999999999999964,0.0,3.218167,3.475746,3.634729,4.21492,7.101547,7.316153,7.527629,9.26239
2013-06-01,1.3903888279197085,1.5187472411246183,1.7595049796895523,1.653870448297634,-0.039999999999999994,-0.009999999999999981,0.0,0.0,-0.09999999999999964,-0.20000000000000018,0.20000000000000018,0.0,3.44205,3.346589,3.620118,4.254375,6.980927,7.407219,8.2632,9.142789
2013-07-01,1.7157935271568725,1.138808047576867,1.684061762098299,1.4175114798464783,-0.020000000000000004,0.009999999999999981,-0.01999999999999999,0.0,0.0,0.09999999999999964,0.09999999999999964,0.0,3.664904,3.218167,3.605645,4.293678,6.802307,7.101547,7.691441,7.815543
2013-08-01,1.885471805415806,1.3903888279197085,2.0181404902574807,1.6859349154821235,0.0,-0.039999999999999994,0.009999999999999981,-0.03,-0.20000000000000018,-0.09999999999999964,-0.2999999999999998,-0.09999999999999964,3.886733,3.44205,3.475746,4.077172,6.63358,6.980927,7.316153,6.448431
2013-09-01,1.538809488600279,1.7157935271568725,1.5187472411246183,1.9497168982819613,-0.009999999999999995,-0.020000000000000004,-0.009999999999999981,0.010000000000000009,-0.09999999999999964,0.0,-0.20000000000000018,-0.2999999999999998,4.158611,3.664904,3.346589,3.862447,6.461915,6.802307,7.407219,7.062765
2013-10-01,1.0947341081747997,1.885471805415806,1.138808047576867,2.1556780595369363,0.0,0.0,0.009999999999999981,0.01999999999999999,0.0,-0.20000000000000018,0.09999999999999964,0.0,4.429374,3.886733,3.218167,3.64948,6.218402,6.63358,7.101547,7.387004
2013-11-01,0.8767991434911471,1.538809488600279,1.3903888279197085,1.7960197033926262,0.009999999999999995,-0.009999999999999995,-0.039999999999999994,0.0,0.0,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,4.699027,4.158611,3.44205,3.634729,6.741868,6.461915,6.980927,7.527629
2013-12-01,1.2328701961954458,1.0947341081747997,1.7157935271568725,1.7595049796895523,-0.009999999999999995,0.0,-0.020000000000000004,0.0,-0.2999999999999998,0.0,0.0,0.20000000000000018,4.228713,4.429374,3.664904,3.620118,6.115674,6.218402,6.802307,8.2632
