country,horizon,response,shock,share
UK,4,GDP,M2,0.9368665596173149
UK,4,UNEMPLOYMENT,GDP,0.040550054572275465
UK,4,UNEMPLOYMENT,UNEMPLOYMENT,0.022961831957139352
UK,4,UNEMPLOYMENT,CPI,0.013200534056368087
UK,4,UNEMPLOYMENT,POLICY_RATE,0.022835283753683083
UK,4,UNEMPLOYMENT,M2,0.9004522956605341
UK,4,CPI,GDP,0.04913752490177849
UK,4,CPI,UNEMPLOYMENT,0.023261313706914692
UK,4,CPI,CPI,0.013028686773084903
UK,4,CPI,POLICY_RATE,0.02232983383645525
UK,4,CPI,M2,0.8922426407817668
UK,4,POLICY_RATE,GDP,0.04885742764830363
UK,4,POLICY_RATE,UNEMPLOYMENT,0.025245532486812047
UK,4,POLICY_RATE,CPI,0.017857965349688407
UK,4,POLICY_RATE,POLICY_RATE,0.02198688262693515
UK,4,POLICY_RATE,M2,0.8860521918882609
UK,4,M2,GDP,0.04970588241208935
UK,4,M2,UNEMPLOYMENT,0.027891212331317763
UK,4,M2,CPI,0.01776096149238897
UK,4,M2,POLICY_RATE,0.023725526541111812
UK,4,M2,M2,0.8809164172230922
GERMANY,0,GDP,GDP,1.0000000000000002
GERMANY,0,GDP,UNEMPLOYMENT,0.0
GERMANY,0,GDP,CPI,0.0
GERMANY,0,GDP,POLICY_RATE,0.0
GERMANY,0,GDP,M2,0.0
GERMANY,0,UNEMPLOYMENT,GDP,0.9961961121807468
GERMANY,0,UNEMPLOYMENT,UNEMPLOYMENT,0.0010178608076609526
GERMANY,0,UNEMPLOYMENT,CPI,0.00040032126899927677
GERMANY,0,UNEMPLOYMENT,POLICY_RATE,0.0014798420766241071
GERMANY,0,UNEMPLOYMENT,M2,0.0009058636659690222
GERMANY,0,CPI,GDP,0.9735784714248
GERMANY,0,CPI,UNEMPLOYMENT,0.009325837682718184
GERMANY,0,CPI,CPI,0.0024495446367183487
GERMANY,0,CPI,POLICY_RATE,0.009855523373128425
GERMANY,0,CPI,M2,0.004790622882635047
GERMANY,0,POLICY_RATE,GDP,0.9275444160838553
GERMANY,0,POLICY_RATE,UNEMPLOYMENT,0.0303988433065109
GERMANY,0,POLICY_RATE,CPI,0.004587540342077071
GERMANY,0,POLICY_RATE,POLICY_RATE,0.026380976318517258
GERMANY,0,POLICY_RATE,M2,0.011088223949039704
GERMANY,0,M2,GDP,0.8668892302443763
GERMANY,0,M2,UNEMPLOYMENT,0.05837553947119247
GERMANY,0,M2,CPI,0.01278753947108586
GERMANY,0,M2,POLICY_RATE,0.042382227724394275
GERMANY,0,M2,M2,0.019565463088951237
GERMANY,1,GDP,GDP,0.0006023941933755888
GERMANY,1,GDP,UNEMPLOYMENT,0.9993976058066244
GERMANY,1,GDP,CPI,0.0
GERMANY,1,GDP,POLICY_RATE,0.0
GERMANY,1,GDP,M2,0.0
GERMANY,1,UNEMPLOYMENT,GDP,0.028093770321127563
GERMANY,1,UNEMPLOYMENT,UNEMPLOYMENT,0.9636280577204408
GERMANY,1,UNEMPLOYMENT,CPI,0.00789144277086946
GERMANY,1,UNEMPLOYMENT,POLICY_RATE,7.59043572690549e-05
GERMANY,1,UNEMPLOYMENT,M2,0.0003108248302931664
GERMANY,1,CPI,GDP,0.04041427790183385
GERMANY,1,CPI,UNEMPLOYMENT,0.926792156765815
GERMANY,1,CPI,CPI,0.009535668350613846
GERMANY,1,CPI,POLICY_RATE,0.02294398106517838
GERMANY,1,CPI,M2,0.00031391591655899554
GERMANY,1,POLICY_RATE,GDP,0.05444894856476498
GERMANY,1,POLICY_RATE,UNEMPLOYMENT,0.9105145575067235
GERMANY,1,POLICY_RATE,CPI,0.010059984686715937
GERMANY,1,POLICY_RATE,POLICY_RATE,0.020890218175835418
GERMANY,1,POLICY_RATE,M2,0.004086291065960282
GERMANY,1,M2,GDP,0.08897534734178297
GERMANY,1,M2,UNEMPLOYMENT,0.874909091739328
GERMANY,1,M2,CPI,0.010677777109682174
GERMANY,1,M2,POLICY_RATE,0.01951118747978379
GERMANY,1,M2,M2,0.00592659632942308
GERMANY,2,GDP,GDP,0.0006433950541458741
GERMANY,2,GDP,UNEMPLOYMENT,0.0001314602311318237
GERMANY,2,GDP,CPI,0.9992251447147223
GERMANY,2,GDP,POLICY_RATE,0.0
GERMANY,2,GDP,M2,0.0
GERMANY,2,UNEMPLOYMENT,GDP,0.0006387227827544866
GERMANY,2,UNEMPLOYMENT,UNEMPLOYMENT,0.00040811594810543343
GERMANY,2,UNEMPLOYMENT,CPI,0.9936030491810173
GERMANY,2,UNEMPLOYMENT,POLICY_RATE,0.004216849570847141
GERMANY,2,UNEMPLOYMENT,M2,0.0011332625172756504
GERMANY,2,CPI,GDP,0.027000819278057055
GERMANY,2,CPI,UNEMPLOYMENT,0.0013327647644465867
GERMANY,2,CPI,CPI,0.9624678859667578
GERMANY,2,CPI,POLICY_RATE,0.004904720212322453
GERMANY,2,CPI,M2,0.004293809778416112
GERMANY,2,POLICY_RATE,GDP,0.03332030356692987
GERMANY,2,POLICY_RATE,UNEMPLOYMENT,0.002263971485173083
GERMANY,2,POLICY_RATE,CPI,0.9510975627762636
GERMANY,2,POLICY_RATE,POLICY_RATE,0.007559847528744433
GERMANY,2,POLICY_RATE,M2,0.005758314642889216
GERMANY,2,M2,GDP,0.033006242622232715
GERMANY,2,M2,UNEMPLOYMENT,0.0026764457576933165
GERMANY,2,M2,CPI,0.9462663527264621
GERMANY,2,M2,POLICY_RATE,0.009265575736951942
GERMANY,2,M2,M2,0.008785383156660057
GERMANY,3,GDP,GDP,0.03515866136243266
GERMANY,3,GDP,UNEMPLOYMENT,0.007547920342780047
GERMANY,3,GDP,CPI,0.012897226861196846
GERMANY,3,GDP,POLICY_RATE,0.9443961914335904
GERMANY,3,GDP,M2,0.0
GERMANY,3,UNEMPLOYMENT,GDP,0.07822000694218073
GERMANY,3,UNEMPLOYMENT,UNEMPLOYMENT,0.006691421690392036
GERMANY,3,UNEMPLOYMENT,CPI,0.020217987089949624
GERMANY,3,UNEMPLOYMENT,POLICY_RATE,0.8929007460308638
GERMANY,3,UNEMPLOYMENT,M2,0.0019698382466138923
GERMANY,3,CPI,GDP,0.09934290843590057
GERMANY,3,CPI,UNEMPLOYMENT,0.008177701960948051
GERMANY,3,CPI,CPI,0.04822877136975894
GERMANY,3,CPI,POLICY_RATE,0.8413739853404452
GERMANY,3,CPI,M2,0.0028766328929472366
GERMANY,3,POLICY_RATE,GDP,0.11414770148963191
GERMANY,3,POLICY_RATE,UNEMPLOYMENT,0.03257008416068467
GERMANY,3,POLICY_RATE,CPI,0.04904071124405969
GERMANY,3,POLICY_RATE,POLICY_RATE,0.8015878238615303
GERMANY,3,POLICY_RATE,M2,0.002653679244093648
GERMANY,3,M2,GDP,0.11530955198631807
GERMANY,3,M2,UNEMPLOYMENT,0.03315507250382633
GERMANY,3,M2,CPI,0.04973891214663851
GERMANY,3,M2,POLICY_RATE,0.7965293968001786
GERMANY,3,M2,M2,0.005267066563038563
GERMANY,4,GDP,GDP,0.002615815835617451
GERMANY,4,GDP,UNEMPLOYMENT,0.00046535958777875366
GERMANY,4,GDP,CPI,0.007851988262112874
GERMANY,4,GDP,POLICY_RATE,4.1200897522143566e-05
GERMANY,4,GDP,M2,0.9890256354169688
GERMANY,4,UNEMPLOYMENT,GDP,0.013539278959194767
GERMANY,4,UNEMPLOYMENT,UNEMPLOYMENT,0.00029552482317602135
GERMANY,4,UNEMPLOYMENT,CPI,0.01187942359601036
GERMANY,4,UNEMPLOYMENT,POLICY_RATE,0.0003926169482073294
GERMANY,4,UNEMPLOYMENT,M2,0.9738931556734116
GERMANY,4,CPI,GDP,0.013559508288330057
GERMANY,4,CPI,UNEMPLOYMENT,0.002718746874315139
GERMANY,4,CPI,CPI,0.015896402367235208
GERMANY,4,CPI,POLICY_RATE,0.00038108036574190324
GERMANY,4,CPI,M2,0.9674442621043776
GERMANY,4,POLICY_RATE,GDP,0.027089774291804564
GERMANY,4,POLICY_RATE,UNEMPLOYMENT,0.004142367292581617
GERMANY,4,POLICY_RATE,CPI,0.019568453017809333
GERMANY,4,POLICY_RATE,POLICY_RATE,0.0027216986181084527
GERMANY,4,POLICY_RATE,M2,0.9464777067796961
GERMANY,4,M2,GDP,0.04393496734492494
GERMANY,4,M2,UNEMPLOYMENT,0.010381474760705623
