country,form,alpha,origin_date,target_date,horizon,n_train_origin,actual,forecast,naive_forecast,error,abs_error,sq_error,naive_error,naive_abs_error,naive_sq_error
GERMANY,primary,31.622776601683796,2023-01-01,2023-02-01,1,251,0.9488000000000056,0.37779435018426616,1.1598000000000042,0.5710056498157394,0.5710056498157394,0.32604745212149483,-0.21099999999999852,0.21099999999999852,0.044520999999999374
GERMANY,primary,31.622776601683796,2023-02-01,2023-03-01,1,252,0.9488999999999947,0.6379298803054693,0.9488000000000056,0.3109701196945255,0.3109701196945255,0.0967024153428275,9.99999999891088e-05,9.99999999891088e-05,9.99999999782176e-09
GERMANY,primary,31.622776601683796,2023-03-01,2023-04-01,1,253,0.5271000000000043,0.2096836819546646,0.9488999999999947,0.31741631804533976,0.31741631804533976,0.10075311896146029,-0.4217999999999904,0.4217999999999904,0.1779152399999919
GERMANY,primary,31.622776601683796,2023-04-01,2023-05-01,1,254,-0.10540000000000305,0.4510155332631357,0.5271000000000043,-0.5564155332631388,0.5564155332631388,0.30959824565650307,-0.6325000000000074,0.6325000000000074,0.40005625000000933
GERMANY,primary,31.622776601683796,2023-05-01,2023-06-01,1,255,0.31629999999999825,0.4591529447818867,-0.10540000000000305,-0.14285294478188842,0.14285294478188842,0.020406963832857263,0.4217000000000013,0.4217000000000013,0.1778308900000011
GERMANY,primary,31.622776601683796,2023-06-01,2023-07-01,1,256,0.31619999999999493,0.5563770964583431,0.31629999999999825,-0.24017709645834817,0.24017709645834817,0.05768503766316268,-0.00010000000000331966,0.00010000000000331966,1.0000000000663932e-08
GERMANY,primary,31.622776601683796,2023-07-01,2023-08-01,1,257,0.4218000000000046,0.44850343770191914,0.31619999999999493,-0.026703437701914523,0.026703437701914523,0.00071307358510003,0.10560000000000969,0.10560000000000969,0.011151360000002046
GERMANY,primary,31.622776601683796,2023-08-01,2023-09-01,1,258,0.31619999999999493,0.3938308014450633,0.4218000000000046,-0.0776308014450684,0.0776308014450684,0.006026541333003634,-0.10560000000000969,0.10560000000000969,0.011151360000002046
GERMANY,primary,31.622776601683796,2023-09-01,2023-10-01,1,259,0.0,0.3711998170858182,0.31619999999999493,-0.3711998170858182,0.3711998170858182,0.13778930420454488,-0.31619999999999493,0.31619999999999493,0.0999824399999968
GERMANY,primary,31.622776601683796,2023-10-01,2023-11-01,1,260,-0.5270999999999901,0.398963446645612,0.0,-0.9260634466456021,0.9260634466456021,0.857593507213132,-0.5270999999999901,0.5270999999999901,0.2778344099999896
GERMANY,primary,31.622776601683796,2023-11-01,2023-12-01,1,261,0.10540000000000305,0.4311842762689094,-0.5270999999999901,-0.3257842762689064,0.3257842762689064,0.10613539466405511,0.6324999999999932,0.6324999999999932,0.4000562499999914
GERMANY,primary,31.622776601683796,2023-12-01,2024-01-01,1,262,0.2108999999999952,0.4585603056206679,0.10540000000000305,-0.2476603056206727,0.2476603056206727,0.061335626980125006,0.10549999999999216,0.10549999999999216,0.011130249999998345
GERMANY,primary,31.622776601683796,2024-01-01,2024-02-01,1,263,0.5271000000000043,0.3770773449514476,0.2108999999999952,0.15002265504855672,0.15002265504855672,0.02250679702781824,0.31620000000000914,0.31620000000000914,0.09998244000000578
GERMANY,primary,31.622776601683796,2024-02-01,2024-03-01,1,264,0.5271999999999935,0.24543022905467615,0.5271000000000043,0.2817697709453173,0.2817697709453173,0.07939420381857658,9.99999999891088e-05,9.99999999891088e-05,9.99999999782176e-09
GERMANY,primary,31.622776601683796,2024-03-01,2024-04-01,1,265,0.6324999999999932,0.33698896302197523,0.5271999999999935,0.29551103697801795,0.29551103697801795,0.08732677297582349,0.10529999999999973,0.10529999999999973,0.011088089999999943
GERMANY,primary,31.622776601683796,2020-01-01,2020-04-01,3,213,0.10540000000000305,0.2626005007914362,-0.6000999999999976,-0.15720050079143316,0.15720050079143316,0.02471199744907738,0.7055000000000007,0.7055000000000007,0.497730250000001
GERMANY,primary,31.622776601683796,2020-02-01,2020-05-01,3,214,0.0,0.6234407122759342,0.31629999999999825,-0.6234407122759342,0.6234407122759342,0.3886783217231242,-0.31629999999999825,0.31629999999999825,0.1000456899999989
GERMANY,primary,31.622776601683796,2020-03-01,2020-06-01,3,215,0.10540000000000305,0.40717324491802054,0.2108999999999952,-0.3017732449180175,0.3017732449180175,0.09106709134834977,-0.10549999999999216,0.10549999999999216,0.011130249999998345
GERMANY,primary,31.622776601683796,2020-04-01,2020-07-01,3,216,-0.8434000000000026,0.548299192737137,0.10540000000000305,-1.3916991927371396,1.3916991927371396,1.9368266430652061,-0.9488000000000056,0.9488000000000056,0.9002214400000107
GERMANY,primary,31.622776601683796,2020-05-01,2020-08-01,3,217,0.0,-0.1714273512976019,0.0,0.1714273512976019,0.1714273512976019,0.02938733677291141,0.0,0.0,0.0
GERMANY,primary,31.622776601683796,2020-06-01,2020-09-01,3,218,0.0,-0.14275411090456974,0.10540000000000305,0.14275411090456974,0.14275411090456974,0.0203787361801542,-0.10540000000000305,0.10540000000000305,0.011109160000000642
GERMANY,primary,31.622776601683796,2020-07-01,2020-10-01,3,219,0.2108999999999952,-0.13589975538828852,-0.8434000000000026,0.3467997553882837,0.3467997553882837,0.12027007033737343,1.0542999999999978,1.0542999999999978,1.1115484899999954
GERMANY,primary,31.622776601683796,2020-08-01,2020-11-01,3,220,-0.2108999999999952,0.07826409686997213,0.0,-0.28916409686996736,0.28916409686996736,0.08361587491862386,-0.2108999999999952,0.2108999999999952,0.044478809999997974
GERMANY,primary,31.622776601683796,2020-09-01,2020-12-01,3,221,0.10540000000000305,0.2012192936558659,0.0,-0.09581929365586286,0.09581929365586286,0.009181337036708481,0.10540000000000305,0.10540000000000305,0.011109160000000642
GERMANY,primary,31.622776601683796,2020-10-01,2021-01-01,3,222,1.265199999999993,0.20661580799960513,0.2108999999999952,1.0585841920003878,1.0585841920003878,1.1206004915531138,1.0542999999999978,1.0542999999999978,1.1115484899999954
GERMANY,primary,31.622776601683796,2020-11-01,2021-02-01,3,223,0.6325000000000074,-0.059313873347447324,-0.2108999999999952,0.6918138733474547,0.6918138733474547,0.4786064353560081,0.8434000000000026,0.8434000000000026,0.7113235600000044
GERMANY,primary,31.622776601683796,2020-12-01,2021-03-01,3,224,0.5271999999999935,0.07517919856016665,0.10540000000000305,0.4520208014398268,0.4520208014398268,0.20432280493430333,0.4217999999999904,0.4217999999999904,0.1779152399999919
