country,indicator,transform,regression,subperiod,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag
GERMANY,POLICY_RATE,first_diff,c,post_2020,2020-01,2025-03,-1.4065543606543776,0.5791298731103859,3,59,-2.911939409384601,10,,0.2287838971109377,0.1,4,0.463,True,,Inconclusive,63,False,False
GERMANY,UNEMPLOYMENT,first_diff,c,full,2001-02,2025-03,-4.159124633034576,0.0007721137104493201,2,287,-2.871663828287282,15,,0.2725946079394989,0.1,9,0.463,True,,Stationary,290,False,False
GERMANY,UNEMPLOYMENT,first_diff,c,pre_2020,2001-02,2019-12,-3.452986358784786,0.009279855626041429,2,224,-2.8745310704320794,14,,0.41857631437029563,0.0691481403576312,9,0.463,False,,Stationary,227,False,False
GERMANY,UNEMPLOYMENT,first_diff,c,post_2020,2020-01,2025-03,-3.3609716396980547,0.012363515204119381,1,61,-2.910236235808284,10,,0.20185721779025,0.1,4,0.463,True,,Stationary,63,False,False
GERMANY,GDP,level,c,full,2001-01,2025-03,-3.820851495968984,0.002701038634099048,13,277,-2.872031361137725,15,,0.3286629029848314,0.1,10,0.463,True,,Stationary,291,False,False
GERMANY,GDP,level,c,pre_2020,2001-01,2019-12,-3.784415958219751,0.0030708456908293447,13,214,-2.875142613826617,14,,0.24506079726744456,0.1,9,0.463,True,,Stationary,228,False,False
GERMANY,GDP,level,c,post_2020,2020-01,2025-03,-3.0986925236777485,0.02665009901494706,7,55,-2.9157312396694217,10,,0.28041352835447364,0.1,5,0.463,True,,Stationary,63,False,False
GERMANY,M2,first_diff,c,full,2001-02,2025-03,-3.792650781888121,0.0029834084981061946,14,275,-2.8721080938842976,15,,0.0529733753545721,0.1,8,0.463,True,,Stationary,290,False,False
GERMANY,M2,first_diff,c,pre_2020,2001-02,2019-12,-3.292255985897523,0.015228200822192057,14,212,-2.875271898983725,14,,0.08588890484551284,0.1,7,0.463,True,,Stationary,227,False,False
GERMANY,M2,first_diff,c,post_2020,2020-01,2025-03,-3.036050562612582,0.0316621490753094,10,52,-2.918973284023669,10,,0.1943771192991031,0.1,4,0.463,True,,Stationary,63,False,False
