p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
1,0,1,1,0,2,12,6,73.91224420136497,96.64141270648838,83.119499216212,-29.956122100682485,True,0.8813735000003362,
1,0,1,1,1,0,12,4,309.21305024360686,325.47441738384,315.79966041145735,-149.60652512180343,True,0.12671120000049996,
1,0,1,1,1,1,12,5,183.72798713633657,203.21013156929948,191.61992000620546,-85.86399356816828,True,0.2873093999987759,
1,0,1,1,1,2,12,6,124.40790571586237,146.68039056790695,133.4399960801787,-55.203952857931185,True,1.1440084999994724,
1,0,1,2,0,0,12,5,109.23415689286527,128.74779746114504,117.13808909428587,-48.617078446432636,True,0.41094800000064424,
1,0,1,2,0,1,12,6,67.43216159424392,90.19807559057034,76.65341582923462,-26.71608079712196,True,0.5674630000012257,
1,0,1,2,0,2,12,7,65.51415949411438,91.49035207139826,76.03673665393956,-24.757079747057187,True,1.182898600000044,
1,0,1,2,1,0,12,5,235.8946648352533,255.01897967029782,243.6494232990447,-111.94733241762665,True,0.4727961000007781,
1,0,1,2,1,1,12,6,147.83965127995413,170.1513519208394,156.88686948771075,-66.91982563997706,True,0.6275280999998358,
1,0,1,2,1,2,12,7,136.673056559315,162.12732496165168,146.99544554710508,-60.3365282796575,True,2.034762600000249,
1,0,2,0,0,0,12,4,217.48807621595486,234.294537044502,224.2801264331618,-103.74403810797743,True,0.06659199999921839,
1,0,2,0,0,1,12,5,75.65207737736488,95.47190682571933,83.672039702712,-31.826038688682438,True,0.2833633000009286,
1,0,2,0,0,2,12,6,72.70269653696036,95.39492564237787,81.89586433319408,-29.351348268480184,True,0.8005347999987862,
1,0,2,0,1,0,12,4,431.5233601331722,448.0398846734676,438.2066620709615,-210.7616800665861,True,0.07699849999880826,
1,0,2,0,1,1,12,5,233.71413494716572,253.16461703752358,241.5939930582232,-110.85706747358286,True,0.3954851000016788,
1,0,2,0,1,2,12,6,129.37135102507426,151.60439915309104,138.38821181536656,-57.685675512537124,True,1.3302149000010104,
1,0,2,1,0,0,12,5,145.4284367485053,165.30767262275603,153.47078173563318,-66.71421837425265,True,0.19587640000099782,
1,0,2,1,0,1,12,6,63.517766171431994,86.64090052784553,72.87438888433697,-24.758883085715997,True,0.42646070000046166,
1,0,2,1,0,2,12,7,72.50055359249419,98.43452971297133,83.00703107390416,-28.250276796247093,True,0.9036525000010442,
1,0,2,1,1,0,12,5,305.4212821368278,324.93492270510757,313.32521433824843,-146.7106410684139,True,0.22474189999957161,
1,0,2,1,1,1,12,6,180.97524877890902,203.6674778843265,190.16841657514274,-83.48762438945451,True,0.5235599000006914,
1,0,2,1,1,2,12,7,122.43432315498926,147.84352101557988,132.7393069153233,-53.21716157749463,True,1.8249823000005563,
1,0,2,2,0,0,12,6,107.86056052513926,130.62647452146567,117.08181476012996,-46.93028026256963,True,0.42629809999925783,
1,0,2,2,0,1,12,7,63.870665568855486,89.88885299322853,74.40924183741627,-23.935332784427743,True,1.1796054000005824,
1,0,2,2,0,2,12,8,63.18390552926732,92.3596286648041,75.00369269585354,-22.59195276463366,True,1.4975535000012314,
1,0,2,2,1,0,12,6,234.25385433178437,256.56555497266964,243.301072539541,-110.12692716589218,True,0.5193944000002375,
1,0,2,2,1,1,12,7,146.0981823038888,171.59726875061483,156.43786025561067,-65.0490911519444,True,0.9425936000006914,
1,0,2,2,1,2,12,8,132.67062591854244,161.25597351170688,144.26373264891828,-57.33531295927122,True,2.2356534999998985,
