country,variable,horizon,n_obs,rmse,mae,medae,rmse_trimmed,mae_trimmed,mase,medase,rmse_to_mae_ratio
GERMANY,UNEMPLOYMENT,6,51,0.6094024787844182,0.3174035612436237,0.1777314458272314,0.3089845868247208,0.240419846360565,5.393474048199908,3.0200982524025717,1.919961062808209
GERMANY,UNEMPLOYMENT,12,51,1.7454133815524464,0.7035236591429076,0.2624238599032988,0.5771481239783786,0.43039044539387805,11.954612553856897,4.4592325066274725,2.480959039357479
GERMANY,CPI,1,51,0.8091257302925479,0.587822262475524,0.4457855053295315,0.6159289789051,0.5098893000827759,1.4785121030680388,1.1212560446865651,1.3764802423185503
GERMANY,CPI,3,51,1.3592018903386822,0.6999552160068876,0.4425543377724208,0.631397404068945,0.5205268911248411,1.7605530183792213,1.1131288935982244,1.941841219632125
GERMANY,CPI,6,51,1.0038501366541555,0.6188439241010344,0.4255012752912466,0.6310745171130422,0.5175446654457174,1.55653892358593,1.0702364057114775,1.6221378243511102
GERMANY,CPI,12,51,1.9149229261056786,0.8999382720359567,0.4802416721043616,0.8143675064424721,0.660442462013939,2.2635577319168,1.2079214584587057,2.127838081353616
GERMANY,POLICY_RATE,1,51,0.16207676077229513,0.12776817144094654,0.1051333747280589,0.13631680864953988,0.11806063938193466,1.5608315430672033,1.284322109755655,1.268522190968396
GERMANY,POLICY_RATE,3,51,0.3249972323303858,0.25473143882197485,0.1806418270709054,0.2788626719718632,0.2360044307795409,3.1118302801100683,2.2067425596669508,1.2758426436617345
GERMANY,POLICY_RATE,6,51,0.5003763183024352,0.3602453709465288,0.2532587914687311,0.37280291537851934,0.310014174974609,4.400801325368972,3.093840240690746,1.3889875031224372
GERMANY,POLICY_RATE,12,51,1.1830235858860958,0.7378021190016241,0.5247775626782599,0.7212511399337448,0.5873000791147205,9.013080541829705,6.41074661775786,1.6034429224558675
GERMANY,M2,1,51,0.5850110198135494,0.43452910689456226,0.2586586500678859,0.5018493131939357,0.39574618662902394,1.4017847089327387,0.8344291205015338,1.3463103173788111
GERMANY,M2,3,51,1.7148284161722414,0.9744930125440261,0.573742524232114,0.9512242593440269,0.7438123886093362,3.1437005767198927,1.8508852101550977,1.7597134038914086
GERMANY,M2,6,51,2.0039782650745033,0.9846798338233985,0.5118545549289595,0.9187080904984101,0.7158237139959278,3.1765631170548945,1.6512355027832244,2.035157211754085
GERMANY,M2,12,51,4.737636795089273,1.96298111727709,0.8708826705939442,1.636438922984529,1.1787790230022515,6.332549121480181,2.8094550895282624,2.4134907633044334
