date,USA_CPI_roll3_mean,USA_CPI_roll3_std,USA_CPI_roll12_mean,USA_CPI_roll12_std,USA_POLICY_RATE_roll3_mean,USA_POLICY_RATE_roll3_std,USA_POLICY_RATE_roll12_mean,USA_POLICY_RATE_roll12_std,USA_UNEMPLOYMENT_roll3_mean,USA_UNEMPLOYMENT_roll3_std,USA_UNEMPLOYMENT_roll12_mean,USA_UNEMPLOYMENT_roll12_std,USA_GDP_roll3_mean,USA_GDP_roll3_std,USA_GDP_roll12_mean,USA_GDP_roll12_std,USA_M2_roll3_mean,USA_M2_roll3_std,USA_M2_roll12_mean,USA_M2_roll12_std
2020-01-01,2.337195280556855,0.2541997004365793,1.9053138831191971,0.30554888603625463,-0.09333333333333334,0.16165807537309487,-0.07083333333333332,0.11476920186604812,0.0,0.0,-0.033333333333333326,0.08876253645985943,3.6353660000000008,0.6061929511830391,4.135574416666667,0.4988594386305617,6.820605,0.23671929610401748,5.3177475,1.1828152198449413
2020-02-01,2.420204042189056,0.15588809251444818,1.973851811838142,0.30321684240137553,0.010000000000000009,0.01732050807568524,-0.06833333333333332,0.11676186592091331,-0.03333333333333336,0.05773502691896263,-0.024999999999999984,0.07537783614444085,2.137282666666667,2.0911877208651872,3.790271,1.3651026326452158,6.724199333333334,0.06994248587457721,5.552047333333333,1.1749956192309385
2020-03-01,2.145041540298546,0.5784043198443718,1.9414229462535182,0.33312904899268114,-0.3,0.5458021619598076,-0.1466666666666667,0.27180652655664445,0.2666666666666668,0.5507570547286106,0.050000000000000044,0.2779797245712847,-0.2422689999999994,3.2671725300615826,3.1706555,2.5060983688290692,7.876872666666666,1.9570098129008722,6.072694583333333,1.6562303019156899
2020-04-01,1.3828013126971832,1.018700006609856,1.800794931572856,0.5745762890305771,-0.5,0.4877499359302879,-0.1975,0.295823196582627,3.733333333333334,5.795112883571237,0.9250000000000002,2.9963993543766976,-3.4948573333333326,3.2379603333583837,2.279172583333333,3.7766393693014346,11.289454000000001,5.159398104046727,7.151598166666667,3.433398120152076
2020-05-01,0.6684295206389615,0.7173017871728368,1.6676524939248758,0.73775313720292,-0.51,0.4714870093650513,-0.19499999999999998,0.2974894956128703,3.233333333333333,6.331139971074194,0.7999999999999998,3.073345822626303,-4.9051193333333325,1.6526866179231727,1.5623056666666668,4.189427852525783,16.339915,5.932079873198937,8.61936875,5.352139790940344
2020-06-01,0.4093016269363388,0.272300502971186,1.5881076096576259,0.7871426569831508,-0.18999999999999997,0.3553871128783371,-0.19166666666666665,0.2999646443812801,2.1999999999999997,7.107742257566745,0.6166666666666666,3.1888536935375194,-4.490227666666666,2.234067616571248,1.01829975,4.229764684749757,20.575909,3.190150566125037,10.130660833333332,6.569377310696487
2020-07-01,0.6372407831192343,0.4052109900104111,1.5189853952870205,0.8006254476407064,0.01333333333333333,0.015275252316515936,-0.1925,0.2993363872423009,-1.5333333333333339,0.7023769168568517,0.5416666666666665,3.212605380891549,-2.2671159999999992,2.212119939967994,0.6454258333333334,4.098203806019566,22.655051,0.6264068315750451,11.642411583333333,7.330712971796691
2020-08-01,0.998196965108411,0.2822091415034171,1.4809377818608322,0.800138293283357,0.016666666666666666,0.011547005383787825,-0.16916666666666666,0.30362831145193214,-1.5999999999999996,0.7211102550928,0.3999999999999999,3.280243893371345,-0.7073159999999993,1.350577518694873,0.2816,3.9082429283139284,22.986769999999996,0.16384579506621783,13.114883083333334,7.702076373060844
2020-09-01,1.2229858344598554,0.20339732594527382,1.4564815474606843,0.7978325712367454,0.003333333333333332,0.011547005383787896,-0.1625,0.3063902739970706,-1.0666666666666667,0.6429100507328664,0.3583333333333332,3.2903324875744517,0.19598166666666728,0.25433796292793703,-0.07327141666666669,3.6548566628699692,23.24865133333333,0.3466271183421882,14.6151295,7.862497080679643
2020-10-01,1.3008263612189763,0.08212042975407555,1.414515934398062,0.795149427001153,0.0,0.009999999999994688,-0.145,0.30941293385436175,-1.0999999999999996,0.6244997998398428,0.27499999999999997,3.310074154621148,0.449484333333334,0.25266545661473483,-0.41928075,3.3278997110880666,23.371650666666664,0.3672194609442795,16.034190166666665,7.8023056847378935
