country,form,feature_name,category,selected_alpha,coef_full_train,coef_fold_mean,coef_fold_std,coef_fold_min,coef_fold_max,abs_coef_full,sign_stable,n_folds_same_sign_as_full,rank_abs_full
JAPAN,primary,JAPAN_GDP_lag6,lag,3162.2776601683795,0.0010295699402888743,0.0004660870063801343,0.00038631498232174984,-6.169622170237724e-05,0.0010141650044215977,0.0010295699402888743,False,4,24
JAPAN,primary,JAPAN_GDP_lag12,lag,3162.2776601683795,0.0010033673650202593,0.00037942014307907056,0.00048768237087597546,-0.00020507773772490513,0.0009667182015085661,0.0010033673650202593,False,3,25
JAPAN,primary,JAPAN_M2_lag1,lag,3162.2776601683795,0.0008800861837106984,0.0006880051775431571,0.0005395833382758797,0.00014755951858304103,0.0015619151921924957,0.0008800861837106984,True,5,26
JAPAN,primary,JAPAN_M2_lag3,lag,3162.2776601683795,-0.00018099351491667647,-0.0003196845736863332,0.0003083016131814729,-0.0008041767631477373,-2.184174389148802e-05,0.00018099351491667647,True,5,39
JAPAN,primary,JAPAN_M2_lag6,lag,3162.2776601683795,0.0015025380492944115,0.0007564317865434188,0.0005290126430523932,0.00012632073189696596,0.0015572846663232797,0.0015025380492944115,True,5,15
JAPAN,primary,JAPAN_M2_lag12,lag,3162.2776601683795,0.0005878579301703753,6.909094635113543e-06,0.00033615862066561827,-0.00036769375666273615,0.0003241451843625624,0.0005878579301703753,False,3,31
JAPAN,primary,JAPAN_CPI_roll3_mean,rolling,3162.2776601683795,0.009968710339411107,0.004951856331992418,0.002925197009471482,0.0015143634231393247,0.008910364969760502,0.009968710339411107,True,5,1
JAPAN,primary,JAPAN_CPI_roll3_std,rolling,3162.2776601683795,0.003063069832194509,0.0004729493708490756,0.00138074112765353,-0.00038254526846824306,0.0028980719383298738,0.003063069832194509,False,2,5
JAPAN,primary,JAPAN_CPI_roll12_mean,rolling,3162.2776601683795,0.004276084367470798,0.0018710908722942364,0.001303288304473565,0.00040452337370850533,0.0037734333589971654,0.004276084367470798,True,5,3
JAPAN,primary,JAPAN_CPI_roll12_std,rolling,3162.2776601683795,0.00025990112077097123,-0.0004198599576926484,0.0008148820716922875,-0.001478993135618483,0.0005359373518294925,0.00025990112077097123,False,2,36
JAPAN,primary,JAPAN_POLICY_RATE_roll3_mean,rolling,3162.2776601683795,0.0030709927171602507,0.0020052354026340183,0.0010470847864389767,0.0006543135312633396,0.0028847845702048153,0.0030709927171602507,True,5,4
JAPAN,primary,JAPAN_POLICY_RATE_roll3_std,rolling,3162.2776601683795,-0.001206827409705434,-0.0005343999689241499,0.0010936928092501743,-0.0014519058013907349,0.0006983135737674518,0.001206827409705434,False,3,21
JAPAN,primary,JAPAN_POLICY_RATE_roll12_mean,rolling,3162.2776601683795,0.0014145660932487329,0.0010630034533452924,0.0004432891261186627,0.0004892381542568544,0.0014239475331679994,0.0014145660932487329,True,5,17
JAPAN,primary,JAPAN_POLICY_RATE_roll12_std,rolling,3162.2776601683795,-0.002019619291387647,-0.00107461082705503,0.0007414336268069463,-0.001903921887343517,-2.994843147838014e-05,0.002019619291387647,True,5,12
JAPAN,primary,JAPAN_UNEMPLOYMENT_roll3_mean,rolling,3162.2776601683795,-9.340597403996932e-06,-8.15163290204827e-05,9.405608229213194e-05,-0.000171414657166257,5.6045935731300756e-05,9.340597403996932e-06,False,4,46
JAPAN,primary,JAPAN_UNEMPLOYMENT_roll3_std,rolling,3162.2776601683795,-0.0007179100370666305,0.00015335612977713205,0.00026017129422124726,-8.063213721482191e-05,0.0005340790201389142,0.0007179100370666305,False,2,28
JAPAN,primary,JAPAN_UNEMPLOYMENT_roll12_mean,rolling,3162.2776601683795,-0.001133524646539289,-0.0004780174234149812,0.0003129386176309277,-0.0009872086568316792,-0.00018628452889303404,0.001133524646539289,True,5,23
JAPAN,primary,JAPAN_UNEMPLOYMENT_roll12_std,rolling,3162.2776601683795,8.026637667097686e-05,-5.080727166677392e-05,0.0003758786537087731,-0.0005129036310184441,0.00048229280369465835,8.026637667097686e-05,False,2,44
JAPAN,primary,JAPAN_GDP_roll3_mean,rolling,3162.2776601683795,0.0013211423341948979,0.0007378421417500175,0.000628359823048052,7.719525661576632e-07,0.0014024048453540024,0.0013211423341948979,True,5,19
JAPAN,primary,JAPAN_GDP_roll3_std,rolling,3162.2776601683795,-0.000715738148429052,-0.0005099399698137624,0.001391404950450047,-0.0019611033827188784,0.000993288025165259,0.000715738148429052,False,3,29
JAPAN,primary,JAPAN_GDP_roll12_mean,rolling,3162.2776601683795,0.0015518632773667705,0.0007670075790441496,0.0005749647252293474,9.429176052195629e-05,0.0015496072453007278,0.0015518632773667705,True,5,14
JAPAN,primary,JAPAN_GDP_roll12_std,rolling,3162.2776601683795,-0.001397927958137647,-0.0009201075769639562,0.0002999684410067437,-0.0012257281828018344,-0.0005040297562275833,0.001397927958137647,True,5,18
JAPAN,primary,JAPAN_M2_roll3_mean,rolling,3162.2776601683795,0.00025637002758330355,0.0004257636126047917,0.00043370417417584923,0.0001659952966518264,0.0011939372103293969,0.00025637002758330355,True,5,37
JAPAN,primary,JAPAN_M2_roll3_std,rolling,3162.2776601683795,-0.0006473455287357878,0.00032122724912316084,0.000509576739911961,-0.0001604336648147017,0.0011346473427223766,0.0006473455287357878,False,1,30
