country,pi0,candidate_date,wald_f
JAPAN,0.1,2017-05-01,2.8999153014242878
JAPAN,0.1,2017-06-01,2.8816079542580795
JAPAN,0.1,2017-07-01,3.157705286929519
JAPAN,0.1,2017-08-01,3.3084893462765086
JAPAN,0.1,2017-09-01,3.2479963713587616
JAPAN,0.1,2017-10-01,3.118228993271524
JAPAN,0.1,2017-11-01,3.227162952376164
JAPAN,0.1,2017-12-01,3.065621723790207
JAPAN,0.1,2018-01-01,2.8438491493221485
JAPAN,0.1,2018-02-01,3.046845660671903
JAPAN,0.1,2018-03-01,3.077984257032795
JAPAN,0.1,2018-04-01,3.4696038124561293
JAPAN,0.1,2018-05-01,3.6003214423414276
JAPAN,0.1,2018-06-01,3.455056736521666
JAPAN,0.1,2018-07-01,3.458582479038376
JAPAN,0.1,2018-08-01,3.4754693319553764
JAPAN,0.1,2018-09-01,2.9796433058307468
JAPAN,0.1,2018-10-01,3.069781752146953
JAPAN,0.1,2018-11-01,2.942997500399866
JAPAN,0.1,2018-12-01,3.1206894115254
JAPAN,0.1,2019-01-01,3.499817966296342
JAPAN,0.1,2019-02-01,3.576512849242685
JAPAN,0.1,2019-03-01,3.7227277465459734
JAPAN,0.1,2019-04-01,3.7520066983367735
JAPAN,0.1,2019-05-01,3.322468357670813
JAPAN,0.1,2019-06-01,3.581354568845483
JAPAN,0.1,2019-07-01,3.9498772586713367
JAPAN,0.1,2019-08-01,3.987609997573229
JAPAN,0.1,2019-09-01,3.895854982386299
JAPAN,0.1,2019-10-01,3.8467499492672936
JAPAN,0.1,2019-11-01,3.611363348181569
JAPAN,0.1,2019-12-01,3.5748138664141806
JAPAN,0.1,2020-01-01,3.853326730207254
JAPAN,0.1,2020-02-01,3.8447151016772914
JAPAN,0.1,2020-03-01,4.344526905095695
JAPAN,0.1,2020-04-01,4.281542784238295
JAPAN,0.1,2020-05-01,4.340845082337656
JAPAN,0.1,2020-06-01,4.323743626326928
JAPAN,0.1,2020-07-01,4.328352719253553
JAPAN,0.1,2020-08-01,4.379522226951176
JAPAN,0.1,2020-09-01,4.506412490022518
JAPAN,0.1,2020-10-01,4.971801399862854
JAPAN,0.1,2020-11-01,5.246781222416943
JAPAN,0.1,2020-12-01,6.887876151354655
JAPAN,0.1,2021-01-01,6.761865330974156
JAPAN,0.1,2021-02-01,6.285672818857581
JAPAN,0.1,2021-03-01,6.3816047672612815
JAPAN,0.1,2021-04-01,6.4494646987289
JAPAN,0.1,2021-05-01,7.954051967993327
JAPAN,0.1,2021-06-01,7.66810705342491
JAPAN,0.1,2021-07-01,7.908868541761197
JAPAN,0.1,2021-08-01,7.782899277172243
JAPAN,0.1,2021-09-01,9.126080909991849
JAPAN,0.1,2021-10-01,7.693191128629323
JAPAN,0.1,2021-11-01,10.31896535687363
JAPAN,0.1,2021-12-01,10.24983345569775
JAPAN,0.1,2022-01-01,11.884109236693291
JAPAN,0.1,2022-02-01,11.595089867699453
JAPAN,0.1,2022-03-01,10.762840751410108
JAPAN,0.1,2022-04-01,9.81894440557466
JAPAN,0.1,2022-05-01,8.774046827865963
JAPAN,0.1,2022-06-01,8.127172754730738
JAPAN,0.1,2022-07-01,7.910806431954851
JAPAN,0.1,2022-08-01,7.923497306426528
JAPAN,0.1,2022-09-01,7.508388450189903
JAPAN,0.1,2022-10-01,7.006056672909343
JAPAN,0.1,2022-11-01,5.536257729527158
JAPAN,0.1,2022-12-01,5.335402333492748
JAPAN,0.1,2023-01-01,5.164734360536459
JAPAN,0.1,2023-02-01,3.8577042131627985
JAPAN,0.1,2023-03-01,8.677491882911639
JAPAN,0.1,2023-04-01,7.912176697025896
JAPAN,0.1,2023-05-01,6.4667831499805954
UK,0.1,2003-07-01,1.8529462288262533
UK,0.1,2003-08-01,2.0162053253380994
UK,0.1,2003-09-01,2.013807173037515
UK,0.1,2003-10-01,1.980248484058296
