country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
JAPAN,primary,316.22776601683796,2.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.05273372076560381,0.8264929118439243
JAPAN,primary,1000.0,3.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.06186151817926908,0.15296378281193027
JAPAN,primary,0.001,-3.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.012308145606306144,0.5382325624289807
JAPAN,primary,0.0031622776601683794,-2.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.012316480518588222,0.5268730327775061
JAPAN,primary,0.01,-2.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.012363601414996882,0.502567810517511
JAPAN,primary,0.03162277660168379,-1.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.012500889652915579,0.4665427996677745
JAPAN,primary,0.1,-1.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.012688250287437723,0.4243861059343053
JAPAN,primary,0.31622776601683794,-0.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.012892913858621131,0.3703547238373173
JAPAN,primary,1.0,0.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.013342807552063775,0.28961693665656574
JAPAN,primary,3.1622776601683795,0.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.014748441359907598,0.1938061169372099
JAPAN,primary,10.0,1.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.018530076814804262,0.12071643789894519
JAPAN,primary,31.622776601683793,1.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.02630832206518446,0.0849629451679204
JAPAN,primary,100.0,2.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.03870847775262789,0.07848237852947923
JAPAN,primary,316.22776601683796,2.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.05328098647029956,0.08531599196108208
JAPAN,primary,1000.0,3.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.06416486165774639,0.0939481999795383
JAPAN,primary,0.001,-3.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.020610889635592707,0.0934497948058931
JAPAN,primary,0.0031622776601683794,-2.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.020611338731958733,0.09299277173643548
JAPAN,primary,0.01,-2.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.020615019389513437,0.09163210992244065
JAPAN,primary,0.03162277660168379,-1.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.02064045322107703,0.08791512406421555
JAPAN,primary,0.1,-1.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.02077572929110762,0.07940506106331953
JAPAN,primary,0.31622776601683794,-0.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.02120076666076658,0.06501132036596433
JAPAN,primary,1.0,0.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.02190195332692275,0.048388309314814124
JAPAN,primary,3.1622776601683795,0.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.022829470081488334,0.03612109787082117
JAPAN,primary,10.0,1.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.024800004528979798,0.031287695392500335
