country,origin_date,horizon,target_date,variable,forecast,actual,error
GERMANY,2021-08-01,1,2021-09-01,GDP,6.852634796210257,6.989481,-0.13684620378974266
GERMANY,2021-08-01,1,2021-09-01,UNEMPLOYMENT,0.06106569966014941,0.0,0.06106569966014941
GERMANY,2021-08-01,1,2021-09-01,CPI,0.18324038668195236,0.31630000000001246,-0.1330596133180601
GERMANY,2021-08-01,1,2021-09-01,POLICY_RATE,-0.06372515441973457,-0.0012599999999999278,-0.062465154419734645
GERMANY,2021-08-01,1,2021-09-01,M2,-0.24703918554719723,-0.15681400000000068,-0.09022518554719655
GERMANY,2021-08-01,3,2021-11-01,GDP,7.03323651761141,7.746325,-0.7130884823885895
GERMANY,2021-08-01,3,2021-11-01,UNEMPLOYMENT,0.12114546572250876,0.0,0.12114546572250876
GERMANY,2021-08-01,3,2021-11-01,CPI,0.5456011263784355,0.2109000000000094,0.3347011263784261
GERMANY,2021-08-01,3,2021-11-01,POLICY_RATE,-0.03891687914143026,-0.0028240000000000487,-0.03609287914143021
GERMANY,2021-08-01,3,2021-11-01,M2,-0.23300693153377272,-0.16803399999999957,-0.06497293153377315
GERMANY,2021-08-01,6,2022-02-01,GDP,2.9436479984301283,9.154834,-6.211186001569871
GERMANY,2021-08-01,6,2022-02-01,UNEMPLOYMENT,0.2562199940854787,-0.09999999999999964,0.35621999408547833
GERMANY,2021-08-01,6,2022-02-01,CPI,1.268901275291235,0.8433999999999884,0.4255012752912466
GERMANY,2021-08-01,6,2022-02-01,POLICY_RATE,-0.13009099192009432,0.0031330000000000524,-0.13322399192009438
GERMANY,2021-08-01,6,2022-02-01,M2,-0.440776405817581,-0.3231409999999997,-0.1176354058175813
GERMANY,2021-08-01,12,2022-08-01,GDP,-3.0533057765977025,7.766949,-10.820254776597704
GERMANY,2021-08-01,12,2022-08-01,UNEMPLOYMENT,0.3376728979994847,0.0,0.3376728979994847
GERMANY,2021-08-01,12,2022-08-01,CPI,0.16363674196002398,0.4217000000000013,-0.2580632580399773
GERMANY,2021-08-01,12,2022-08-01,POLICY_RATE,-0.25876060711545446,0.476412,-0.7351726071154545
GERMANY,2021-08-01,12,2022-08-01,M2,-0.6589467123920364,-0.10429200000000005,-0.5546547123920363
GERMANY,2021-09-01,1,2021-10-01,GDP,6.5432815559889335,6.948164,-0.40488244401106677
GERMANY,2021-09-01,1,2021-10-01,UNEMPLOYMENT,0.08677932031731438,0.0,0.08677932031731438
GERMANY,2021-09-01,1,2021-10-01,CPI,0.9728855053295217,0.5270999999999901,0.44578550532953154
GERMANY,2021-09-01,1,2021-10-01,POLICY_RATE,0.13064848206526083,-0.0010529999999999706,0.1317014820652608
GERMANY,2021-09-01,1,2021-10-01,M2,-0.6824299470302431,-0.23071600000000014,-0.4517139470302429
GERMANY,2021-09-01,3,2021-12-01,GDP,7.437240652999404,8.541263,-1.1040223470005968
GERMANY,2021-09-01,3,2021-12-01,UNEMPLOYMENT,0.09786142557856485,0.0,0.09786142557856485
GERMANY,2021-09-01,3,2021-12-01,CPI,1.122163824579918,0.21079999999999188,0.911363824579926
GERMANY,2021-09-01,3,2021-12-01,POLICY_RATE,0.01489950683268878,-0.003134999999999999,0.018034506832688778
GERMANY,2021-09-01,3,2021-12-01,M2,-0.9025305724997466,-0.3571370000000007,-0.5453935724997458
GERMANY,2021-09-01,6,2022-03-01,GDP,0.4284930764276813,8.979352,-8.550858923572319
GERMANY,2021-09-01,6,2022-03-01,UNEMPLOYMENT,0.17109581575676538,0.0,0.17109581575676538
GERMANY,2021-09-01,6,2022-03-01,CPI,0.968844463559871,2.214000000000013,-1.2451555364401419
