p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,3,2,1,2,12,8,-107.87269653372672,-78.79271898203544,-96.08947842533925,62.93634826686336,True,1.8523256000007677,
0,0,4,0,0,0,12,5,78.78968399270732,99.205748283941,87.03241969855738,-33.39484199635366,True,0.069747899999129,
0,0,4,0,0,1,12,6,-0.8957587266106088,22.533993988411673,8.576022000760744,7.447879363305304,True,0.19618439999976545,
0,0,4,0,0,2,12,7,-10.756782320919058,15.549353924637224,-0.1089327407867664,13.378391160459529,True,0.513180600000851,
0,0,4,0,1,0,12,5,-33.16362793062921,-13.080982746324402,-25.044958735739478,22.581813965314605,True,0.13649110000005749,
0,0,4,0,1,1,12,6,-108.09975065775083,-85.08188144288908,-98.78288227513508,61.049875328875416,True,0.5493748999997479,
0,0,4,0,1,2,12,7,-104.09516124615658,-78.28918785645097,-93.6375981789405,60.04758062307829,True,1.076221400000577,
0,0,4,1,0,0,12,6,-69.87724251566578,-46.28277631877215,-60.34398850714123,41.93862125783289,True,0.1147514999993291,
0,0,4,1,0,1,12,7,-111.7135599473795,-84.93669970163975,-100.88866768752652,63.85677997368975,True,0.5879995000013878,
0,0,4,1,0,2,12,8,-110.14225586290436,-80.54785258665355,-98.16342508525554,64.07112793145218,True,1.3619249000003038,
0,0,4,1,1,0,12,6,-63.69642933535394,-40.50398748206143,-54.313693517038075,38.84821466767697,True,0.35601110000061453,
0,0,4,1,1,1,12,7,-113.15844117189377,-86.8523049263375,-102.51059159176148,64.57922058594689,True,0.7235570000011649,
0,0,4,1,1,2,12,8,-104.56675461813998,-75.53503455472116,-92.80199616752189,61.28337730906999,False,2.9442062999987684,
0,0,4,2,0,0,12,7,-77.83682980288673,-51.33118197055243,-67.11370315338289,46.91841490144336,True,0.3005866999992577,
0,0,4,2,0,1,12,8,-116.00562199250047,-86.18676818112438,-103.94210451180864,67.00281099625023,True,0.8775963000007323,
0,0,4,2,0,2,12,9,-112.94454422823372,-80.06187392128837,-99.63473225306836,66.47227211411686,True,1.4121779999986757,
0,0,4,2,1,0,12,7,-82.15045598168213,-56.13226855730909,-71.61187971312134,49.075227990841064,True,0.5995548999999301,
0,0,4,2,1,1,12,8,-100.22801064048785,-70.95754978806818,-88.37211233835696,59.114005320243926,True,2.0041819000016403,
0,0,4,2,1,2,12,9,-104.58606218881752,-72.3285954516855,-91.51410835479743,62.29303109440876,True,2.8750567999995837,
1,0,0,0,0,0,12,2,79.06918542160709,89.33079041942395,83.21035253520525,-36.534592710803544,True,0.030461800000921357,
1,0,0,0,0,1,12,3,-7.829743161602286,5.634160898485119,-2.3891169041014813,7.914871580801143,True,0.08022049999999581,
1,0,0,0,0,2,12,4,-12.809678244302852,3.7316602427031746,-6.117022764134013,11.404839122151426,True,0.2412807000000612,
1,0,0,0,1,0,12,2,-35.844671185419635,-25.74674314035408,-31.76420149229403,20.922335592709818,False,0.06746650000059162,
1,0,0,0,1,1,12,3,-110.78302337702831,-97.54995258742349,-105.42889899289324,59.39151168851416,True,0.29876340000009804,
1,0,0,0,1,2,12,4,-106.99243084559332,-90.75731048479089,-100.41582012070258,58.49621542279666,True,0.7171321000005264,
1,0,0,1,0,0,12,3,-70.51224457588279,-57.04834051579539,-65.07161831838198,39.256122287941395,True,0.10162970000055793,
1,0,0,1,0,1,12,4,-112.7518071158984,-95.92192704078914,-105.9510242940224,61.3759035579492,True,0.14569459999984247,
1,0,0,1,0,2,12,5,-117.37497284737543,-97.5253666629682,-109.34378627117283,64.68748642368772,True,0.46937099999922793,
1,0,0,1,1,0,12,3,-62.842716551208696,-49.60964576160387,-57.48859216707363,35.42135827560435,True,0.15604979999989155,
1,0,0,1,1,1,12,4,-116.56201862013147,-100.02068013312544,-109.86936313996263,63.281009310065734,True,0.38000149999970745,
1,0,0,1,1,2,12,5,-107.14980250676591,-87.66765807380298,-99.25786963689703,59.574901253382954,True,0.8292036000002554,
1,0,0,2,0,0,12,4,-76.83139238752433,-60.2900539005183,-70.1387369073555,43.415696193762166,True,0.23891809999986435,
1,0,0,2,0,1,12,5,-115.33883765882734,-95.48923147442011,-107.30765108262474,63.66941882941367,True,0.4147312000004604,
1,0,0,2,0,2,12,6,-116.51228249261456,-93.35440861080613,-107.1425648203782,65.25614124630728,True,0.6365918000010424,
1,0,0,2,1,0,12,4,-81.55013031295474,-65.31500995215231,-74.973519588064,45.77506515647737,False,0.9775270999998611,
1,0,0,2,1,1,12,5,-100.1504920482734,-80.6683476153105,-92.25855917840451,56.0752460241367,True,1.1632009000004473,
